card_id,card_name,card_type,url,image_url
FCDY,청소년 가족카드,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=FCDY,https://www.hyundaicard.com/img/com/card/card_FCDY_h.png
TO,"나를 빛내는 컬러, the Orange",신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TO,https://www.hyundaicard.com/img/com/card/card_TO_h.png
HDSHE2,현대홈쇼핑 할인에 적립금을 더한 현대홈쇼핑 현대카드 Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HDSHE2,https://www.hyundaicard.com/img/com/card/card_HDSHE2_h.png
TBE4,the Black,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TBE4,https://www.hyundaicard.com/img/com/card/card_TBE4_h.png
TPE4,the Purple,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TPE4,https://www.hyundaicard.com/img/com/card/card_TPE4_h.png
TRSTE2,the Red Stripe Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TRSTE2,https://www.hyundaicard.com/img/com/card/card_TRSTE2_h.png
TRE6,the Red,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TRE6,https://www.hyundaicard.com/img/com/card/card_TRE6_h.png
TGE3,the Green Edition3,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TGE3,https://www.hyundaicard.com/img/com/card/card_TGE3_h.png
TPIE2,the Pink Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TPIE2,https://www.hyundaicard.com/img/com/card/card_TPIE2_h.png
SPM,Summit,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SPM,https://www.hyundaicard.com/img/com/card/card_SPM_h.png
MXBE2,MX Black Edition2,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MXBE2,https://www.hyundaicard.com/img/com/card/card_MXBE2_h.png
BTCP,Boutique - Copper,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=BTCP,https://www.hyundaicard.com/img/com/card/card_BTCP_h.png
BTVV,Boutique - Velvet,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=BTVV,https://www.hyundaicard.com/img/com/card/card_BTVV_h.png
BTST,Boutique - Satin,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=BTST,https://www.hyundaicard.com/img/com/card/card_BTST_h.png
BTMCE,Summit CE,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=BTMCE,https://www.hyundaicard.com/img/com/card/card_BTMCE_h.png
MPE4,MM,신용,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MPE4,https://www.hyundaicard.com/img/com/card/card_MPE4_h.png
